id,web_name,first_name,second_name,element_type,team,now_cost,form,total_points,minutes,goals_scored,assists,clean_sheets,saves,selected_by_percent,influence,creativity,threat,position,cost
1,Raya,David,Raya Martín,1,1,55,0.0,142,3420,0,0,13,86,18.1,755.4,10.7,0.0,GK,5.5
2,Arrizabalaga,Kepa,Arrizabalaga Revuelta,1,1,45,0.0,106,2790,0,0,8,97,1.0,744.4,10.4,4.0,GK,4.5
3,Hein,Karl,Hein,1,1,40,0.0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,GK,4.0
4,Setford,Tommy,Setford,1,1,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,GK,4.0
5,Gabriel,Gabriel,dos Santos Magalhães,2,1,60,0.0,117,2363,3,2,10,0,22.2,584.6,208.8,287.0,DEF,6.0
6,Saliba,William,Saliba,2,1,60,0.0,130,3039,2,0,12,0,14.0,672.6,150.1,116.0,DEF,6.0
7,Calafiori,Riccardo,Calafiori,2,1,55,0.0,39,978,2,1,1,0,0.6,252.6,118.2,176.0,DEF,5.5
8,J.Timber,Jurriën,Timber,2,1,55,0.0,114,2415,1,3,11,0,2.2,393.0,296.8,254.0,DEF,5.5
9,Kiwior,Jakub,Kiwior,2,1,55,0.0,43,1117,1,0,3,0,0.1,267.2,91.3,32.0,DEF,5.5
10,Lewis-Skelly,Myles,Lewis-Skelly,2,1,55,0.0,37,1362,1,0,5,0,5.5,176.0,170.7,57.0,DEF,5.5
11,White,Benjamin,White,2,1,55,0.0,50,1195,0,2,5,0,0.9,247.6,162.6,100.0,DEF,5.5
12,Zinchenko,Oleksandr,Zinchenko,2,1,50,0.0,40,518,0,1,4,0,0.3,83.4,92.8,66.0,DEF,5.0
13,Clarke,Brayden,Clarke,2,1,40,0.0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,DEF,4.0
14,Kacurri,Maldini,Kacurri,2,1,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
15,Nichols,Josh,Nichols,2,1,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
16,Saka,Bukayo,Saka,3,1,100,0.0,127,1724,6,11,7,0,15.3,606.0,842.8,830.0,MID,10.0
17,Ødegaard,Martin,Ødegaard,3,1,80,0.0,116,2321,3,9,11,0,3.3,524.6,968.7,493.0,MID,8.0
18,Madueke,Noni,Madueke,3,1,70,0.0,120,2028,7,5,6,0,1.6,479.2,475.1,998.0,MID,7.0
19,Martinelli,Gabriel,Martinelli Silva,3,1,70,0.0,125,2284,8,4,10,0,1.4,559.8,587.8,912.0,MID,7.0
20,Trossard,Leandro,Trossard,3,1,70,0.0,152,2546,8,8,11,0,1.5,609.0,617.6,798.0,MID,7.0
21,Rice,Declan,Rice,3,1,65,0.0,127,2823,4,7,11,0,7.4,733.0,959.6,399.0,MID,6.5
22,Merino,Mikel,Merino Zazón,3,1,60,0.0,92,1575,7,2,4,0,0.9,456.8,265.8,511.0,MID,6.0
23,Fábio Vieira,Fábio,Ferreira Vieira,3,1,55,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.5
24,Nørgaard,Christian,Nørgaard,3,1,55,0.0,107,2820,5,5,6,0,0.7,735.4,333.0,409.0,MID,5.5
25,Nwaneri,Ethan,Nwaneri,3,1,55,0.0,66,882,4,2,4,0,0.4,293.2,282.8,255.0,MID,5.5
26,Zubimendi,Martín,Zubimendi Ibáñez,3,1,55,0.0,0,0,0,0,0,0,1.6,0.0,0.0,0.0,MID,5.5
27,Nelson,Reiss,Nelson,3,1,50,0.0,27,483,1,1,1,0,0.2,131.6,223.9,195.0,MID,5.0
28,Kabia,Ismeal,Kabia,3,1,45,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,MID,4.5
29,Sambi,Albert,Sambi Lokonga,3,1,45,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,MID,4.5
30,Havertz,Kai,Havertz,4,1,75,0.0,97,1872,9,3,7,0,1.4,467.6,269.0,711.0,FWD,7.5
31,G.Jesus,Gabriel,Fernando de Jesus,4,1,65,0.0,42,600,3,2,2,0,0.0,154.4,119.5,255.0,FWD,6.5
662,Mosquera,Cristhian,Mosquera,2,1,55,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,DEF,5.5
666,Gyökeres,Viktor,Gyökeres,4,1,90,0.0,0,0,0,0,0,0,23.6,0.0,0.0,0.0,FWD,9.0
32,Martinez,Emiliano,Martínez Romero,1,2,50,0.0,111,3195,0,0,8,100,0.5,839.6,20.0,0.0,GK,5.0
33,M.Bizot,Marco,Bizot,1,2,45,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,GK,4.5
34,Gauci,Joe,Gauci,1,2,40,0.0,0,0,0,0,0,0,1.1,0.0,0.0,0.0,GK,4.0
35,Marschall,Filip,Marschall,1,2,40,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,GK,4.0
36,Cash,Matty,Cash,2,2,45,0.0,76,2069,1,1,7,0,1.7,359.2,181.0,171.0,DEF,4.5
37,Digne,Lucas,Digne,2,2,45,0.0,89,2348,0,5,6,0,1.7,512.6,583.9,112.0,DEF,4.5
38,Konsa,Ezri,Konsa Ngoyo,2,2,45,0.0,103,2936,2,0,8,0,23.4,532.8,123.9,166.0,DEF,4.5
39,Maatsen,Ian,Maatsen,2,2,45,0.0,57,1125,1,2,3,0,0.9,252.0,293.4,197.0,DEF,4.5
40,Mings,Tyrone,Mings,2,2,45,0.0,47,1119,0,1,4,0,0.5,220.4,49.2,74.0,DEF,4.5
41,Pau,Pau,Torres,2,2,45,0.0,55,2019,0,0,5,0,0.4,350.6,84.5,102.0,DEF,4.5
42,A.García,Andrés,García,2,2,40,0.0,8,316,0,0,0,0,1.0,45.6,68.4,7.0,DEF,4.0
43,Alex Moreno,Álex,Moreno Lopera,2,2,40,0.0,34,952,0,1,3,0,11.4,200.8,134.5,29.0,DEF,4.0
44,Bogarde,Lamare,Bogarde,2,2,40,0.0,6,473,0,0,0,0,0.4,84.8,33.3,15.0,DEF,4.0
45,Sousa,Lino,da Cruz Sousa,2,2,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
46,Yasin,Yasin,Özcan,2,2,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
47,Rogers,Morgan,Rogers,3,2,70,0.0,161,3115,8,11,10,0,24.3,731.6,722.7,689.0,MID,7.0
48,Tielemans,Youri,Tielemans,3,2,60,0.0,121,3025,3,7,7,0,1.7,799.6,963.1,333.0,MID,6.0
49,Bailey,Leon,Bailey,3,2,55,0.0,47,1132,1,2,2,0,0.5,146.4,235.8,325.0,MID,5.5
50,Buendía,Emiliano,Buendía Stati,3,2,55,0.0,11,89,0,0,0,0,0.1,16.4,23.2,16.0,MID,5.5
51,Iling Jr,Samuel,Iling-Junior,3,2,55,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,5.5
52,J.Ramsey,Jacob,Ramsey,3,2,55,0.0,66,1616,1,4,5,0,0.6,235.4,307.9,245.0,MID,5.5
53,Malen,Donyell,Malen,3,2,55,0.0,34,296,3,0,0,0,2.8,138.2,42.7,208.0,MID,5.5
54,McGinn,John,McGinn,3,2,55,0.0,78,2217,1,4,8,0,0.6,277.2,500.6,263.0,MID,5.5
55,Barkley,Ross,Barkley,3,2,50,0.0,44,567,3,1,1,0,0.3,215.4,128.1,206.0,MID,5.0
56,Barrenechea,Enzo,Barrenechea,3,2,50,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,5.0
57,Dobbin,Lewis,Dobbin,3,2,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
58,Kamara,Boubacar,Kamara,3,2,50,0.0,57,1720,1,0,6,0,0.2,326.6,191.0,83.0,MID,5.0
59,Onana,Amadou,Onana,3,2,50,0.0,65,1613,3,0,6,0,1.7,358.0,194.8,215.0,MID,5.0
60,Broggio,Ben,Broggio,3,2,45,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,MID,4.5
61,Dendoncker,Leander,Dendoncker,3,2,45,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,MID,4.5
62,Jimoh-Aloba,Jamaldeen,Jimoh-Aloba,3,2,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
63,Young,Kadan,Young,3,2,45,0.0,0,0,0,0,0,0,0.6,0.0,0.0,0.0,MID,4.5
64,Watkins,Ollie,Watkins,4,2,90,0.0,186,2593,16,8,10,0,15.9,766.0,345.2,1148.0,FWD,9.0
65,Redmond,Zépiqueno,Redmond,4,2,45,0.0,0,0,0,0,0,0,0.9,0.0,0.0,0.0,FWD,4.5
183,Weiss,Max,Weiß,1,3,45,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,GK,4.5
184,Green,Etienne,Green,1,3,40,0.0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,GK,4.0
185,Hladký,Václav,Hladký,1,3,40,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,GK,4.0
186,Roberts,Connor,Roberts,2,3,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,DEF,4.5
187,Walker,Kyle,Walker,2,3,45,0.0,13,966,0,0,0,0,2.2,157.4,147.7,29.0,DEF,4.5
188,Delcroix,Hannes,Delcroix,2,3,40,0.0,0,0,0,0,0,0,0.5,0.0,0.0,0.0,DEF,4.0
189,Dodgson,Owen,Dodgson,2,3,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
190,Ekdal,Hjalmar,Ekdal,2,3,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
191,Estève,Maxime,Estève,2,3,40,0.0,0,0,0,0,0,0,12.5,0.0,0.0,0.0,DEF,4.0
192,Hartman,Quilindschy,Hartman,2,3,40,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,DEF,4.0
193,Humphreys,Bashir,Humphreys,2,3,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
194,Jordan,Jordan,Beyer,2,3,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
195,Lucas Pires,Lucas,Pires Silva,2,3,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
196,Sambo,Shurandy,Sambo,2,3,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
197,Sonne,Oliver,Sonne,2,3,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
198,Tuanzebe,Axel,Tuanzebe,2,3,40,0.0,27,1710,0,1,1,0,3.5,284.4,93.4,25.0,DEF,4.0
199,Worrall,Joe,Worrall,2,3,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
200,Anthony,Jaidon,Anthony,3,3,55,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.5
201,Benson,Manuel,Benson Hedilazio,3,3,55,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,5.5
202,Bruun Larsen,Jacob,Bruun Larsen,3,3,55,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.5
203,Boateng,Enock,Agyei,3,3,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
204,Churlinov,Darko,Churlinov,3,3,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
205,Cullen,Josh,Cullen,3,3,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
206,Edwards,Marcus,Edwards,3,3,50,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,MID,5.0
207,Hannibal,Hannibal,Mejbri,3,3,50,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,MID,5.0
208,Koleosho,Luca,Koleosho,3,3,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
209,Laurent,Josh,Laurent,3,3,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
210,Tchaouna,Loum,Tchaouna,3,3,50,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.0
211,A.Ramsey,Aaron,Ramsey,3,3,45,0.0,0,0,0,0,0,0,12.7,0.0,0.0,0.0,MID,4.5
212,Adewumi,Oluwaseun,Adewumi,3,3,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
213,Banel,Jaydon,Banel,3,3,45,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,4.5
214,Trésor,Mike,Trésor Ndayishimiye,3,3,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
215,Flemming,Zian,Flemming,4,3,55,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,FWD,5.5
216,Amdouni,Zeki,Amdouni,4,3,50,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,FWD,5.0
217,Foster,Lyle,Foster,4,3,50,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,FWD,5.0
218,Barnes,Ashley,Barnes,4,3,45,0.0,0,0,0,0,0,0,4.9,0.0,0.0,0.0,FWD,4.5
219,Obafemi,Michael,Obafemi,4,3,45,0.0,0,0,0,0,0,0,0.7,0.0,0.0,0.0,FWD,4.5
470,Dúbravka,Martin,Dúbravka,1,3,40,0.0,44,900,0,0,5,29,16.5,220.2,0.0,0.0,GK,4.0
676,Ugochukwu,Lesley,Ugochukwu,3,3,50,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,MID,5.0
66,Neto,Norberto,Murara Neto,1,4,45,0.0,7,180,0,0,0,11,1.2,77.8,0.0,0.0,GK,4.5
67,Petrović,Đorđe,Petrović,1,4,45,0.0,0,0,0,0,0,0,4.4,0.0,0.0,0.0,GK,4.5
68,Dennis,Will,Dennis,1,4,40,0.0,0,0,0,0,0,0,0.7,0.0,0.0,0.0,GK,4.0
69,McKenna,Callan,McKenna,1,4,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,GK,4.0
70,Paulsen,Alex,Paulsen,1,4,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,GK,4.0
71,Zabarnyi,Illia,Zabarnyi,2,4,50,0.0,94,3109,0,1,8,0,0.5,651.4,177.0,88.0,DEF,5.0
72,Senesi,Marcos,Senesi Barón,2,4,45,0.0,31,1103,0,0,2,0,0.7,271.6,84.2,39.0,DEF,4.5
73,Smith,Adam,Smith,2,4,45,0.0,57,1586,0,0,6,0,0.2,181.8,147.2,24.0,DEF,4.5
74,Truffert,Adrien,Truffert,2,4,45,0.0,0,0,0,0,0,0,1.3,0.0,0.0,0.0,DEF,4.5
75,Akinmboni,Matai,Akinmboni,2,4,40,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,DEF,4.0
76,Bevan,Owen,Bevan,2,4,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
77,Hill,James,Hill,2,4,40,0.0,17,443,0,1,1,0,0.7,97.0,38.4,29.0,DEF,4.0
78,J.Araujo,Julián,Araujo Zúñiga,2,4,40,0.0,12,492,0,0,0,0,1.3,56.8,30.6,4.0,DEF,4.0
79,Mepham,Chris,Mepham,2,4,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,DEF,4.0
80,Soler,Julio,Soler Barreto,2,4,40,0.0,3,9,0,0,0,0,0.3,2.2,1.8,0.0,DEF,4.0
81,Kluivert,Justin,Kluivert,3,4,70,0.0,158,2339,12,6,13,0,4.8,700.0,654.1,771.0,MID,7.0
82,Semenyo,Antoine,Semenyo,3,4,70,0.0,165,3202,11,7,11,0,5.1,792.2,688.9,1204.0,MID,7.0
83,O.Dango,Dango,Ouattara,3,4,60,0.0,111,1998,7,4,7,0,0.3,624.6,496.8,754.0,MID,6.0
84,Tavernier,Marcus,Tavernier,3,4,55,0.0,87,1932,3,7,4,0,0.4,447.0,664.8,442.0,MID,5.5
85,Adams,Tyler,Adams,3,4,50,0.0,58,1959,0,3,6,0,0.2,411.8,261.2,83.0,MID,5.0
86,Brooks,David,Brooks,3,4,50,0.0,52,941,2,1,3,0,0.2,193.6,316.7,300.0,MID,5.0
87,Christie,Ryan,Christie,3,4,50,0.0,76,2114,2,3,8,0,0.5,514.0,576.8,303.0,MID,5.0
88,Cook,Lewis,Cook,3,4,50,0.0,82,2976,1,4,5,0,0.0,607.0,727.1,114.0,MID,5.0
89,Philip,Philip,Billing,3,4,50,0.0,10,176,0,0,0,0,0.1,54.0,102.4,47.0,MID,5.0
90,Scott,Alex,Scott,3,4,50,0.0,26,745,0,0,3,0,0.1,141.6,171.6,118.0,MID,5.0
91,Sinisterra,Luis,Sinisterra Lucumí,3,4,50,0.0,23,229,1,1,0,0,0.2,112.0,115.3,195.0,MID,5.0
92,Faivre,Romain,Faivre,3,4,45,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,MID,4.5
93,H.Traorè,Hamed,Traorè,3,4,45,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,MID,4.5
94,Sadi,Dominic,Sadi,3,4,45,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,4.5
95,Silcott-Duberry,Zain,Silcott-Duberry,3,4,45,0.0,1,1,0,0,0,0,0.3,2.0,1.0,0.0,MID,4.5
96,Winterburn,Ben,Winterburn,3,4,45,0.0,4,22,0,0,0,0,0.1,2.4,0.2,2.0,MID,4.5
97,Evanilson,Francisco Evanilson,de Lima Barbosa,4,4,70,0.0,128,2317,10,5,11,0,2.5,456.0,331.9,966.0,FWD,7.0
98,Enes Ünal,Enes,Ünal,4,4,55,0.0,32,330,2,1,2,0,0.0,104.0,56.1,207.0,FWD,5.5
99,Adu-Adjei,Daniel,Adu-Adjei,4,4,45,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,FWD,4.5
100,Kroupi.Jr,Eli Junior,Kroupi,4,4,45,0.0,0,0,0,0,0,0,1.4,0.0,0.0,0.0,FWD,4.5
101,Kelleher,Caoimhín,Kelleher,1,5,45,0.0,45,900,0,0,4,27,31.8,224.2,0.0,0.0,GK,4.5
102,Balcombe,Ellery,Balcombe,1,5,40,0.0,0,0,0,0,0,0,0.3,0.0,0.0,0.0,GK,4.0
103,Cox,Matthew,Cox,1,5,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,GK,4.0
104,Eyestone,Julian,Eyestone,1,5,40,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,GK,4.0
105,Valdimarsson,Hákon Rafn,Valdimarsson,1,5,40,0.0,2,144,0,0,0,3,1.9,21.4,0.1,0.0,GK,4.0
106,Collins,Nathan,Collins,2,5,50,0.0,127,3420,2,7,8,0,1.7,1023.2,160.5,311.0,DEF,5.0
107,Lewis-Potter,Keane,Lewis-Potter,2,5,50,0.0,94,3092,1,5,8,0,0.5,542.0,462.2,391.0,DEF,5.0
108,Ajer,Kristoffer,Ajer,2,5,45,0.0,39,1433,0,0,3,0,0.2,199.0,128.1,158.0,DEF,4.5
109,Henry,Rico,Henry,2,5,45,0.0,4,94,0,0,0,0,0.2,13.6,2.1,2.0,DEF,4.5
110,Kayode,Michael,Kayode,2,5,45,0.0,27,523,0,1,2,0,0.3,105.2,105.2,30.0,DEF,4.5
111,Pinnock,Ethan,Pinnock,2,5,45,0.0,47,1912,2,0,2,0,0.3,540.2,101.2,193.0,DEF,4.5
112,Roerslev,Mads,Roerslev Rasmussen,2,5,45,0.0,36,1100,0,2,2,0,0.1,214.4,185.8,78.0,DEF,4.5
113,Van den Berg,Sepp,van den Berg,2,5,45,0.0,62,2584,0,1,5,0,0.4,587.4,108.3,226.0,DEF,4.5
114,Arthur,Benjamin,Arthur,2,5,40,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,DEF,4.0
115,Fredrick,Benjamin,Fredrick,2,5,40,0.0,0,0,0,0,0,0,0.2,0.0,0.0,0.0,DEF,4.0
116,Hickey,Aaron,Hickey,2,5,40,0.0,0,0,0,0,0,0,0.8,0.0,0.0,0.0,DEF,4.0
117,Ji-soo,Kim,Ji-soo,2,5,40,0.0,3,28,0,0,0,0,0.2,5.0,0.8,0.0,DEF,4.0
118,Meghoma,Jayden,Meghoma,2,5,40,0.0,1,4,0,0,0,0,0.2,0.2,0.3,0.0,DEF,4.0
120,Schade,Kevin,Schade,3,5,70,0.0,149,2281,11,4,10,0,1.9,630.8,312.7,892.0,MID,7.0
121,Damsgaard,Mikkel,Damsgaard,3,5,60,0.0,131,2911,2,10,11,0,1.2,714.8,1006.4,338.0,MID,6.0
122,Milambo,Antoni,Milambo,3,5,55,0.0,0,0,0,0,0,0,0.1,0.0,0.0,0.0,MID,5.5
123,Carvalho,Fábio,Freitas Gouveia Carvalho,3,5,50,0.0,35,443,2,1,0,0,0.3,142.2,71.5,154.0,MID,5.0
124,Henderson,Jordan,Henderson,3,5,50,0.0,0,0,0,0,0,0,0.4,0.0,0.0,0.0,MID,5.0
125,Janelt,Vitaly,Janelt,3,5,50,0.0,73,2251,1,3,6,0,0.2,356.6,284.2,131.0,MID,5.0
126,Jensen,Mathias,Jensen,3,5,50,0.0,38,846,0,2,2,0,0.1,157.0,249.5,32.0,MID,5.0
127,Nunes,Gustavo,Nunes Fernandes Gomes,3,5,50,0.0,3,11,0,0,0,0,0.1,10.0,0.3,2.0,MID,5.0
128,Onyeka,Frank,Onyeka,3,5,50,0.0,2,23,0,0,0,0,0.1,0.0,0.5,0.0,MID,5.0
129,Yarmoliuk,Yehor,Yarmoliuk,3,5,50,0.0,43,1435,0,0,3,0,0.1,259.6,196.1,89.0,MID,5.0
