id,fpl_Player,Position,Team,Price
1,Fabio Vieira,MID,ARS,5.4
2,Gabriel G.Jesus,FW,ARS,6.5
3,Gabriel,DEF,ARS,6.1
4,Kai Havertz,FW,ARS,7.7
5,Karl Hein,GK,ARS,4.0
6,Jurrien J.Timber,DEF,ARS,5.5
7,Jorge Luiz Jorginho,MID,ARS,4.6
8,Jakub Kiwior,DEF,ARS,4.9
9,Gabriel Martinelli,MID,ARS,6.5
12,Ethan Nwaneri,MID,ARS,4.3
13,Martin Odegaard,MID,ARS,8.2
15,David Raya,GK,ARS,5.6
16,Declan Rice,MID,ARS,6.3
17,Bukayo Saka,MID,ARS,10.4
18,William Saliba,DEF,ARS,6.4
20,Thomas,MID,ARS,4.9
21,Kieran Tierney,DEF,ARS,4.3
22,Tomiyasu,DEF,ARS,4.8
23,Leandro Trossard,MID,ARS,6.7
24,Benjamin White,DEF,ARS,6.2
25,Oleksandr Zinchenko,DEF,ARS,4.8
73,Norberto Neto,GK,ARS,4.1
186,Raheem Sterling,MID,ARS,6.7
578,Riccardo Calafiori,DEF,ARS,5.8
597,Myles Lewis-Skelly,MID,ARS,4.5
633,Mikel Merino,MID,ARS,6.0
638,Salah-Eddine Oulad M'hand,MID,ARS,4.5
639,Tommy Setford,GK,ARS,4.5
657,Maldini Kacurri,DEF,ARS,4.0
659,Ismeal Kabia,MID,ARS,4.5
662,Josh Nichols,DEF,ARS,4.0
665,Nathan Butler-Oyedeji,FW,ARS,4.5
735,Mikel Arteta,ASS,ARS,1.5
756,Jack Porter,GK,ARS,4.0
790,Jimi Gower,MID,ARS,4.5
793,Jack Henry-Francis,MID,ARS,4.5
801,Brayden Clarke,DEF,ARS,4.0
28,Leon Bailey,MID,AVL,6.2
29,Ross Barkley,MID,AVL,5.2
30,Enzo Barrenechea,MID,AVL,4.9
31,Emiliano Buendia,MID,AVL,5.1
32,Matty Cash,DEF,AVL,4.4
33,Leander Dendoncker,MID,AVL,4.5
34,Moussa Diaby,MID,AVL,6.5
